author,project name,url,(1) no project,(2) no wiki/no content,(3) wiki and content
teopeurt,wagtaildemo.git,https://github.com/teopeurt/wagtaildemo.git, ,x, 
Teplitsa,grasroots.git,https://github.com/Teplitsa/grasroots.git, ,x, 
tepoc,CursoHTML.git,https://github.com/tepoc/CursoHTML.git, ,x, 
tequir00t,dotfiles.git,https://github.com/tequir00t/dotfiles.git, ,x, 
terah,budget-planner.go.git,https://github.com/terah/budget-planner.go.git, ,x, 
terah,php-resque.git,https://github.com/terah/php-resque.git, ,x, 
Terasology,ItemRendering.git,https://github.com/Terasology/ItemRendering.git, ,x, 
Terasology,JoshariasSurvival.git,https://github.com/Terasology/JoshariasSurvival.git, ,x, 
Terasology,ManualLabor.git,https://github.com/Terasology/ManualLabor.git, ,x, 
tercel-s,OrigamiEffect.git,https://github.com/tercel-s/OrigamiEffect.git, ,x, 
tercel-s,ProcessingAdventCalendar2014.git,https://github.com/tercel-s/ProcessingAdventCalendar2014.git, ,x, 
tercel-s,TypeWriterSample.git,https://github.com/tercel-s/TypeWriterSample.git, ,x, 
TercerProyecto,Client-servers.git,https://github.com/TercerProyecto/Client-servers.git, ,x, 
terekhovanton,Specs.git,https://github.com/terekhovanton/Specs.git, ,x, 
terenceccwu,terenceccwu.github.io.git,https://github.com/terenceccwu/terenceccwu.github.io.git, ,x, 
terencemutizwa,guanchen.git,https://github.com/terencemutizwa/guanchen.git, ,x, 
terencetaih,mobilewebapp.git,https://github.com/terencetaih/mobilewebapp.git, ,x, 
teresab,ISProject2_MacStory.git,https://github.com/teresab/ISProject2_MacStory.git, ,x, 
